"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"data$LarvalHost",2,1.56853131864594,0.784265659322968,22107.055193044,1.54464840527794e-311
"data$MaternalHost",1,0.0035847432421106,0.0035847432421106,101.047541434675,1.58026172791035e-20
"data$LarvalHost:data$MaternalHost",1,0.000207963470667296,0.000207963470667296,5.86212065965981,0.0160991993881354
"Residuals",283,0.0100396538412875,3.54758086264577e-05,NA,NA
