"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"data$LarvalHost",2,1072004.10750935,536002.053754673,5964.77545286432,4.41242021282434e-232
"data$MaternalHost",1,7.48661891203884,7.48661891203884,0.0833131149380222,0.773068099553276
"data$LarvalHost:data$MaternalHost",1,336.718024354262,336.718024354262,3.74708901232034,0.0538954262319472
"Residuals",283,25430.7278473879,89.8612291427134,NA,NA
